requirement_ru,stack,skills
"Опыт решения задач потоковой обработки данных (мы используем Kafka)",,"kafka"
"Искренняя вера в необходимость автотестирования, владение практиками организации тестируемого кода и различными классами тестов",,"auto testing|testng"
"Опыт разработки на Kotlin, искренний интерес к языку",,"kotlin"
"Опыт работы с NoSQL базами данных (мы используем Redis, ClickHouse, MongoDB)",,"nosql|redis|clickhouse|mongodb"
"Опыт ведения спецификаций межсервисного взаимодействия (мы используем UML, OpenApi, AsyncApi, C4-model)",,"uml|openapi|asyncapi|c4-model"
"Моделирование: BPMN, UML (Activity, Sequence), PlantUML",,"bpmn|uml|activity diagram|sequence diagram|plantuml"
"Интеграции: REST, SOAP, XSD (навык чтения XSD-схем), синхронные/асинхронные взаимодействия",,"rest|soap|xsd"
"Навык анализировать работу REST-сервисов с использованием Postman либо аналогов, а также консоли браузера",,"rest|postman"
"БД: ER-диаграммы, нормализация, реляционные/нереляционные, NoSQL, SQL (JOIN, UNION, DDL)",,"er diagrams|normalization|nosql|sql|join|union|ddl"
"Знание первых трёх нормальных форм",,"normalization"
"Безопасность: Идентификация, аутентификация, авторизация, шифрование, хэширование",,"identification|authentication|authorization|encryption|hashing"
"Знание моделирования с использованием ER-диаграмм и навык проектирования модели данных с использованием ER",,"er diagrams"
"middle+ DBA в стеке MS SQL (крайне желательно с сертификацией)",,"ms sql"
"Серверы БД: Microsoft SQL Server",,"microsoft sql server"
"Компоненты: SQL Server Integration Services, SQL Server Analysis Services, SQL Server Reporting Services",,"sql server integration services|sql server analysis services|sql server reporting services"
"Опыт работы с дополнительными системами/источниками данных: 1С (УТ, РТ), MS Axapta, WMS, системы ""Антивор"", ""Клеверенс"", маркетплейсы (Wildberries, OZON и др.), пользовательские файлы",,"1c|ms axapta|wms|wildberries|ozon"
"Хорошее знание Python",,"python"
"Уверенное знание Linux",,"linux"
"Умение работать с базами данных MongoDB",,"mongodb"
"Умение работать с FastAPI",,"fastapi"
"Понимание Angular",,"angular"
"Хорошее знание Python",,"python"
"Уверенное знание Linux",,"linux"
"Умение работать с базами данных MongoDB",,"mongodb"
"Умение работать с FastAPI",,"fastapi"
"Понимание Angular",,"angular"
"Знание REST API, SOAP, gRPS, Kafka, Rabbit, JSON, SQL, UML, BPMN, Protobuf, GitLab, Grafana + Loki",,"rest api|soap|grps|kafka|rabbit|json|sql|uml|bpmn|protobuf|gitlab|grafana|loki"
"Знание базовых команд Git",,"git"
"Базовые знания SQL (CRUD + join)",,"sql"
"Уверенные знания REST",,"rest api"
"Уверенные навыки тестирования API (использование инструментов для тестирования API, особенности тестирования API)",,"api testing"
"Опыт тестирования WEB",,"web-тестирование"
"Опыт функционального, интеграционного и E2E-тестирования",,"integration- tests|e2e-тестирование|функциональное тестирование"
"Уверенные знания Java Core",,"java"
"Уверенные знания Selenium/Playwright и Rest-assured (или аналогов)",,"selenium|playwright|rest-assured"
"Уверенные знания JUnit/TestNG/KTest или аналогов",,"junit|testng|ktest"
"Понимание основных принципов ООП",,"oop"
"Знание основных паттернов проектирования ПО и автотестов в частности",,"design patterns"
"Понимание работы систем сборки приложений (maven/gradle)",,"maven|gradle"
"Понимание основных принципов построения архитектуры фреймворков автоматизации",,"automation framework"
"Умение настраивать заглушки (Желательно в Wiremock)",,"wiremock"
"Умение работать с логами (желательно OpenSearch)",,"opensearch"
"Умение работать с нереляционными БД (Желательно MongoDB)",,"mongodb"
"Умение работать с брокерами сообщений (Желательно Kafka)",,"kafka"
"Знание основ подхода Process Mining",,"process mining"
"Знание методологий: eEPC, IDEF, UML",,"eec|idef|uml"
"Знание программного обеспечения ASP Net",,"asp.net"
"Знание программного обеспечения и принцип работы API (SOAP, REST)",,"soap|rest"
"Знание принципов методологий гибкой разработки (Agile, Scrum, Kanban)",,"agile|scrum|kanban"
"React",,"react"
"Серверная сборка (bff)",,"bff"
"Знание HTML5 + CSS3 / SASS / SCSS",,"html5|css3|sass|scss"
"Глубокое понимание адаптивной верстки по БЭМ",,"bem"
"Знание JS, ES6 на экспертном уровне и выше, JQuery",,"javascript|es6|jquery"
"Способность разбираться в нативном js / jquery коде",,"javascript|jquery"
"Опыт работы Native (20%) React (80%)",,"react"
"Опыт работы аналитиком от 5 лет (СА/DWH)",,"dwh"
"Опыт составления документов: BRD, FSD, UG, регламенты",,"brd|fsd|ug"
"Владение базовыми конструкциями SQL запросов, опыт со сложными запросами (JOIN, оконные функции, агрегатные функции, вложенные запросы)",,"sql|join|window-functions|aggregate functions|subquery"
"Опыт составления хранимых процедур и функций",,"stored procedures|functions"
"Умение составлять скрипты с использованием переменных, CTE, условных операторов, временных таблиц",,"cte|temp tables"
"Уверенное владение MS Word, MS Excel",,"ms word|ms excel"
"Опыт разработки информационных систем",,"information system development"
"Опыт проектирования объектов БД, понимание архитектуры хранилищ данных, знание основных принципов построения баз данных",,"database design|data warehousing|database principles"
"Опыт работы в BW более 1 года",,"bw"
"Опыт проведения и организации нагрузочного тестирования",,"нагрузочное тестирование"
"Сертификация BW, ABAP, HANA, BO",,"bw|abap|hana|bo"
"Опыт работы на задачах/проектах X5",,"x5"
"Владение богатым набором инструментов и библиотек из мира Java/Kotlin (используют Maven, Spring Boot, Spring WebClient, Spring Cloud Kafka, Spring Data)",,"java|kotlin|maven|spring boot|spring webclient|spring cloud kafka|spring data"
"Практический опыт разработки микросервисов, знакомство с основными паттернами межмикросервисного взаимодействия и обработки транзакций",,"microservices"
"Опыт проектирования схемы реляционной БД (используют PostgreSQL), устойчивой к изменениям и способствующей быстрому выполнению типовых запросов",,"postgresql"
"Опыт решения задач потоковой обработки данных (используют Kafka)",,"kafka"
"Знание SQL выше среднего с подтвержденной практикой",,"sql"
"Опыт работы с большими массивами структурированных данных (Excel)",,"excel"
"SQL, PL/SQL, Hive",,"sql|pl/sql|hive"
"Опыт участия в проектах по созданию и развитию Data Vault.",,"data vault"
"Опыт чтения и анализа программного кода SAS, SQL, Spark, Hive.",,"sas|sql|spark|hive"
"Наличие опыта коммерческой разработки на Python от пяти лет",,"python"
"Практическое владение асинхронным программированием (asyncio), понимание принципов алгоритмов и объектно-ориентированного подхода",,"asyncio|алгоритмы|object-oriented programming"
"Способность писать чистый код, соответствующий стандартам PEP 8, с комплексом тестов (pytest) и документацией",,"pep 8|pytest|documentation"
"Опыт работы с технологиями Python, Django, PostgreSQL, Redis, Celery, Docker, Grafana и Loki",,"python|django|postgresql|redis|celery|docker|grafana|loki"
"Знание контейнеризации (Docker, Kubernetes) и администрирования ОС Linux",,"docker|kubernetes|linux"
"Знание административной панели Jazzmin",,"jazzmin"
"Навык оптимизации сложных SQL-запросов",,"sql"
"Опыт участия в проектах по созданию и развитию DWH",,"dwh"
"Опыт разработки OLAP-кубов",,"olap cubes"
"Понимание принципов разработки с помощью ETL инструментария",,"etl"
"Опыт разработки логической и физической моделей данных",,"data modelling"
"Опыт создания и развития Data Vault",,"data vault"
"Особенности DDL, DML, PL/SQL",,"ddl|dml|pl/sql"
"Опыт разработки ETL-процессов с использование инструментов SAS от трех лет",,"etl|sas"
"Опыт разработки ETL-процессов для Greenplum",,"etl|greenplum"
"Умение работать с Bash-скриптами",,"bash"
"Опыт промышленной разработки на Python",,"python"
"Опыт чтения и анализа программного кода SAS, SQL, Spark, Hive",,"sas|sql|spark|hive"
"Опыт участия в проектах по созданию и развитию DWH",,"dwh"
"Опыт участия в проектах по созданию и развитию Data Vault",,"data vault"
"Технологии: Oracle/Hadoop/Teradata, SQL/Python/Spark/Hive, Airflow, Grafana/ SAS",,"oracle|hadoop|teradata|sql|python|spark|hive|airflow|grafana|sas"
"Технологии: Oracle/Hadoop/Teradata, SQL/Python/Spark/Hive, Airflow, Grafana/ SAS",,"oracle|hadoop|teradata|sql|python|spark|hive|airflow|grafana|sas"
"Технологии: SQL, PL\SQL, Hive",,"sql|pl/sql|hive"
"Тестирование: регрессионное, интеграционное, функциональное, api, бизнес-логики, требований",,"api"
"БД: владение на уровне выше начального (Select, Join, Update, Insert)",,"select|join|update|insert"
"Swagger, postman",,"swagger|postman"
"Знание баг-трекинг систем (Jira)",,"jira"
"Окружение: знакомство с kafka broker, знакомство с kafka tool (иным инструментом работы с kafka)",,"kafka"
"k8s (kubernetes\openshift), управление микросервисами (deployment\help\configmap), управление окружением (env-config)",,"kubernetes|openshift"
"Базовые знания istio-proxy",,"istio"
"Конфигурирование java-приложений (helm)",,"java|helm"
"CI\CD: знакомство с git\bitbucket\иной инструмент",,"git|bitbucket"
"Знакомство с jenkins\teamcity\иной инструмент",,"jenkins|teamcity"
"Базовые знания Java",,"java"
"Разработка и поддержка фреймворков автоматизации (Java+REST-assured)",,"java|rest-assured"
"Опыт разработки ETL-процессов с использованием инструментов SAS от 3-х лет",,"etl|sas"
"Опыт разработки ETL-процессов для Greenplum",,"etl|greenplum"
"Опыт участия в проектах по созданию и развитию DWH",,"dwh"
"Умение работать с Bash-скриптами",,"bash"
"Опыт промышленной разработки на Python",,"python"
"Опыт участия в проектах по созданию и развитию Data Vault",,"data vault"
"Знание стека: Oracle/Hadoop/Teradata, SQL/Python/Spark/Hive, Airflow, Grafana/SAS",,"oracle|hadoop|teradata|sql|python|spark|hive|airflow|grafana|sas"
"Опыт участия в проектах по созданию и развитию DWH",,"dwh"
"Опыт разработки OLAP-кубов",,"olap cubes"
"Понимание принципов разработки с помощью ETL инструментария",,"etl"
"Опыт разработки логической и физической моделей данных",,"data modelling"
"Опыт создания и развития Data Vault (особенности DDL,DML,PL/SQL)",,"data vault|ddl|dml|pl/sql"
"Знание стека: Oracle/Hadoop/Teradata, SQL/Python/Spark/Hive, Airflow, Grafana/SAS",,"oracle|hadoop|teradata|sql|python|spark|hive|airflow|grafana|sas"
"Опыт разработки ETL-процессов с использованием инструментов SAS от трех лет",,"sas|etl"
"Опыт разработки ETL-процессов для Greenplum",,"etl|greenplum"
"Опыт участия в проектах по созданию и развитию DWH",,"dwh"
"Умение работать с Bash-скриптами",,"bash"
"Опыт промышленной разработки на Python",,"python"
"Опыт участия в проектах по созданию и развитию Data Vault",,"data vault"
"Владение Oracle/Hadoop/Teradata, SQL/Python/Spark/Hive, Airflow, Grafana/ SAS",,"oracle|hadoop|teradata|sql|python|spark|hive|airflow|grafana|sas"
"Опыт участия в проектах по созданию и развитию DWH.",,"dwh"
"Опыт разработки OLAP-кубов.",,"olap cubes"
"Понимание принципов разработки с помощью ETL инструментария.",,"etl"
"Опыт разработки логической и физической моделей данных.",,"data modelling"
"Опыт создания и развития Data Vault. (особенности DDL,DML,PL/SQL).",,"data vault|ddl|dml|pl/sql"
"Oracle/Hadoop/Teradata, SQL/Python/Spark/Hive, Airflow, Grafana/ SAS",,"oracle|hadoop|teradata|sql|python|spark|hive|airflow|grafana|sas"
"Знание и опыт работы с NGINX",,"nginx"
"Опыт работы с облачными провайдерами (AWS, Azure, Yandex Cloud)",,"aws|azure|yandex cloud"
"Уверенное владение Docker и Kubernetes",,"docker|kubernetes"
"Опыт работы с реляционными и NoSQL базами данных (Postgres, Oracle, Redis)",,"postgres|oracle|redis"
"Знание Apache Airflow",,"apache airflow"
"Опыт настройки CI/CD в Gitlab",,"ci/cd|gitlab"
"Знакомство с Grafana и Prometheus, elk",,"grafana|prometheus|elk"
"Опыт проектирования, развертывания и эксплуатации ML-решений в продакшене",,"ml"
"Опыт развертывания и эксплуатации LLM-моделей",,"llm"
"Опыт работы с векторными базами данных (Qdrant, Milvus)",,"qdrant|milvus"
"Опыт работы с API",,"api"
"Знакомство с MLflow",,"mlflow"
"Знакомство с Kubeflow",,"kubeflow"
"Опыт Python: Уверенное владение языком, умение писать чистый, поддерживаемый код (OOP, SOLID).",,"python|oop|solid"
"Опыт ML Stack: Отличное знание классического ML (Scikit-learn) и градиентного бустинга (CatBoost, XGBoost, LightGBM).",,"scikit-learn|catboost|xgboost|lightgbm"
"SQL: Умение писать сложные запросы, оптимизировать их.",,"sql"
"Знание DL-фреймворков (PyTorch/TensorFlow) будет плюсом.",,"pytorch|tensorflow.js"
"Опыт работы с экосистемой Hadoop (HDFS, Hive) и уверенное владение Spark (PySpark) — это критически важно.",,"hadoop|hdfs|hive|spark|pyspark"
"От 7 лет опыта работы в роли C#/.Net-разработчика",,"c#|.net"
"Уверенные знания .net и c#",,".net|c#"
"Основы и опыт javascript, typescript",,"javascript|typescript"
"Участие в коммерческой разработке React/Angular",,"react|angular"
"Хорошие знания работы ORM (оптимизации, расширенный инструментарий, анализ), работа с разными СУБД",,"orm|субд"
"Теория БД, умение спроектировать БД под сложные задачи с учетом будущих требований",,"бд"
"Хороший опыт SQL (сложные запросы, понимание применения индексов, понимание кейсов под оптимизации), знания особенностей под разные СУБД",,"sql|субд"
"Опыт работы с брокерами сообщений",,"брокеры сообщении"
"Знание паттернов проектирования, микросервисной архитектуры",,"паттерны проектирования|микросервисная архитектура"
"Знание программного обеспечения и принцип работы API (SOAP, REST)",,"soap|rest"
"Умение проводить системный анализ",,"системныи анализ"
"Знание и опыт работы с NGINX",,"nginx"
"Опыт работы с облачными провайдерами (AWS, Azure, Yandex Cloud)",,"aws|azure|yandex cloud"
"Уверенное владение Docker и Kubernetes",,"docker|kubernetes"
"Опыт работы с реляционными и NoSQL базами данных (Postgres, Oracle, Redis)",,"postgres|oracle|redis"
"Знание Apache Airflow",,"apache airflow"
"Опыт настройки CI/CD в Gitlab",,"gitlab|ci/cd"
"Знакомство с Grafana и Prometheus, elk",,"grafana|prometheus|elk"
"Опыт проектирования, развертывания и эксплуатации ML-решений в продакшене",,"ml"
"Опыт развертывания и эксплуатации LLM-моделей",,"llm"
"Опыт работы с векторными базами данных (Qdrant, Milvus)",,"qdrant|milvus"
"Опыт работы с API",,"api"
"Знакомство с MLflow",,"mlflow"
"Знакомство с Kubeflow",,"kubeflow"
"Опыт работы в области бизнес-консалтинга и аудита более 5 лет",,"бизнес-консалтинг|аудит"
"Опыт работы Финансовым бизнес-партнером",,"финансовыи бизнес-партнер"
"Наличие пяти сертификатов международного экзамена АССА: F1, F2, F3, F4, F7",,"acca"
"Сертифицированный курс 1С: Предприятие 8. Использование конфигурации Бухгалтерия предприятия (пользовательские режимы) ред. 3.0",,"1с: предприятие 8|бухгалтерия предприятия"
"Ведение полного процесса бюджетирования CAPEX, OPEX компаний",,"capex|opex|бюджетирование"
"Опыт создания и обновления финансовых инвестиционных моделей, моделей CAPEX, взаимосвязанных управленческих моделей",,"capex|инвестиционные модели|управленческие модели"
"Опыт написания методологии по ресурсно-сервисной модели",,"ресурсно-сервисная модель"
"Опыт написания методики по управленческому учету для организаций",,"управленческии учет"
"Опыт ведения и участия в аудиторских проверках",,"аудит"
"Разработка метрик ИТ сервисов",,"метрики ит сервисов"
"Разработка модели расчета тарифов на ИТ сервисы и подготовка сопроводительной документации (мануал) к ней",,"модель расчета тарифов|ит сервисы"
"Определение драйверов затрат для оценки важных аспектов хозяйственной деятельности (себестоимости, сезонных отклонений, финансовых результатов и пр.)",,"драиверы затрат"
"Участие в разработке технико-экономического обоснования для защиты новых продуктов, услуг, товаров, в т.ч. с выходом на расчет IRR.",,"технико-экономическое обоснование|irr"
"Планирование и анализ финансовых показателей ИТ проектов, продуктов, кластеров",,"финансовыи анализ|ит проектов"
"Бизнес-аналитик / Аналитик по тарифной модели",,"бизнес-аналитика|аналитик по тарифнои модели"
"Опыт работы в Big4 будет преимуществом",,"big4"
"Опыт функционального и регрессионного тестирования мобильного продукта (бэкенд, мобильные приложения).",,"функциональное тестирование|regression testing"
"Опыт разработки автотестов на Appium + Python на любой платформе (Mobile/Web/Backend).",,"appium|python|automation testing"
"Готовность погружаться в функциональное и регрессионное тестирования веб приложений.",,"функциональное тестирование|regression testing"
"Опыт написания тестовой документации (тест-кейсов, чек-листов).",,"test case|checklists"
"Опыт тестирования микросервисов с синхронными и асинхронными вызовами.",,"microservices testing"
"Опыт работы с API (REST).",,"rest api"
"Понимание протоколов HTTP/WS и знание инструментов для работы с API (например: Postman, curl etc).",,"httpd|ws|postman|curl"
"Умение анализировать логи и опыт работы с инструментами для их анализа (например: Kibana etc).",,"logs analysis|kibana"
"Умение использовать отладочный прокси-сервер (например: Fiddler, Charles).",,"fiddler|charles"
"Опыт работы с TMS (например: Allure TestOPS, Test IT etc) и багтрекером (например: Jira, Redmine etc).",,"allure testops|test it|jira|redmine"
"Опыт работы с базами данных на уровне выполнения простых запросов.",,"sql"
"Опыт работы с Jira, Confluence, draw.io или любыми функциональными аналогами",,"jira|confluence|draw.io"
"Владение LLM-инструментами для обработки текстов",,"llm"
"Знакомство с языками описания диаграмм: plantUML, mermaid, LikeC4",,"plantuml|mermaid|likec4"
"Python от 3 лет",,"python"
"Опыт с нагрузочным тестами на Locust",,"locust"
"Опыт с автотестами на Selenium",,"selenium"
"Опыт с Linux",,"linux"
"Опыт работы с k8s, составление helm чартов, построение ci/cd",,"k8s|helm|ci/cd"
"Опыт с selenium-grid или подобными Grafana, Prometheus, написание своих экспортеров",,"selenium grid|grafana|prometheus"
"Знание и опыт работы с NGINX",,"nginx"
"Опыт работы с облачными провайдерами (AWS, Azure, Yandex Cloud)",,"aws|azure|yandex cloud"
"Уверенное владение Docker и Kubernetes",,"docker|kubernetes"
"Опыт работы с реляционными и NoSQL базами данных (Postgres, Oracle, Redis)",,"postgres|oracle|redis"
"Знание Apache Airflow",,"apache airflow"
"Опыт настройки CI/CD в Gitlab",,"ci/cd|gitlab"
"Знакомство с Grafana и Prometheus, elk",,"grafana|prometheus|elk"
"Опыт проектирования, развертывания и эксплуатации ML-решений в продакшене",,"ml"
"Опыт развертывания и эксплуатации LLM-моделей",,"llm"
"Опыт работы с векторными базами данных (Qdrant, Milvus)",,"qdrant|milvus"
"Опыт работы с API",,"api"
"Знакомство с MLflow",,"mlflow"
"Знакомство с Kubeflow",,"kubeflow"
"Опыт разработки автотестов на Appium + Python на любой платформе (Mobile/Web/Backend)",,"appium|python"
"Опыт работы с API (REST)",,"rest api"
"Понимание протоколов HTTP/WS и знание инструментов для работы с API (например: Postman, curl etc)",,"httpd|ws|postman|curl"
"Умение анализировать логи и опыт работы с инструментами для их анализа (например: Kibana etc)",,"kibana"
"Умение использовать отладочный прокси-сервер (например: Fiddler, Charles)",,"fiddler|charles"
"Опыт работы с TMS (например: Allure TestOPS, Test IT etc) и багтрекером (например: Jira, Redmine etc)",,"allure testops|test it|jira|redmine"
"Понимание жизненного цикла разработки ПО (SDLC) и процессов тестирования (STLC)",,"sdlc|stlc"
"Знание типов тестирования: функциональное, регрессионное, интеграционное, нагрузочное, API и др.",,"функциональное тестирование|regression testing|integration- tests|load testing|api testing"
"Опыт работы с тестовыми инструментами (Postman, Selenium, Appium, JMeter, REST-assured и др.)",,"postman|selenium|appium|jmeter|rest-assured"
"Знание языков программирования для автоматизации тестирования (Python)",,"python"
"Умение писать SQL-запросы для работы с базами данных",,"sql"
"Опыт настройки CI/CD пайплайнов (Jenkins, GitLab CI/CD)",,"ci/cd|jenkins|gitlab ci/cd"
"Знание принципов работы REST и SOAP API",,"rest|soap"
"Понимание основ тестирования производительности",,"performance testing"
"Опыт в python, ООП, page object, appium android, allure, git, терминал UNIX (хотя бы на уровне джуна)",,"python|oop|page object|appium android|allure|git|unix terminal"
"Опыт работы с appium ios",,"appium ios"
"Опыт разработки на Go от 5 лет",,"go"
"Глубокое понимание внутренних механизмов языка (goroutines, channels, memory model, profiling)",,"goroutines|channel|memory model|profiling"
"Понимание симметричных/асимметричных алгоритмов, HSM, KMS, PKI, TLS",,"hsm|kms|pki|tls"
"Знание современных подходов к проектированию API и сервисов (REST/gRPC, протоколы сериализации: protobuf, msgpack, json)",,"rest|grpc|protobuf|msgpack|json"
"Опыт работы с очередями и потоковой обработкой данных (Kafka, RabbitMQ или их аналоги)",,"kafka|rabbitmq"
"Умение эффективно работать с инструментами pprof, trace, benchtests",,"pprof|trace|benchtests"
"Понимание принципов CI/CD и контейнеризации",,"ci/cd"
"Опыт использования Docker, Kubernetes, GitLab CI/Jenkins",,"docker|kubernetes|gitlab ci|jenkins"
"Знание принципов безопасной разработки (OWASP, Data Protection by Design, безопасное обращение с секретами и ключами)",,"owasp"
"Навыки работы с современными системами хранения данных (PostgreSQL, ClickHouse, Redis или аналоги)",,"postgresql|clickhouse|redis"
"Опыт использования cloud KMS (AWS, GCP, Yandex Cloud) и аппаратных модулей безопасности (HSM)",,"kms|hsm"
"Участие в open source проектах на Go",,"go"
"Опыт коммерческой разработки на Kotlin от 3–5 лет",,"kotlin"
"Глубокое знание Kotlin и сопутствующих инструментов (Coroutines, Flow, Koin/Hilt, DSL и др.)",,"kotlin|coroutines|flow|koin|hilt|dsl"
"Уверенное понимание принципов ООП, функционального программирования, SOLID, DRY, KISS",,"oop|solid|dry|kiss"
"Опыт архитектурного проектирования (Clean Architecture, MVVM/MVI, многомодульность и др.)",,"clean architecture|mvvm|mvi"
"Опыт работы с системами контроля версий (Git), CI/CD, и инструментами автоматизации сборок (Gradle)",,"git|ci/cd|gradle"
"Опыт интеграции с REST/gRPC API, WebSocket, работа с базами данных (SQL/NoSQL)",,"rest api|grpc api|websocket|sql|nosql"
"Знание инструментов тестирования (JUnit, Mockito, Espresso/Detox/или аналогов)",,"junit|mockito|espresso|detox"
"Опыт работы с ГИС: Честный знак (крайне желательно), ВЕТИС, ЕГАИС (желательно)",,"честныи знак|ветис|егаис"
"Опыт работы с Jira, Confluence, draw.io или любыми функциональными аналогами",,"jira|confluence|draw.io"
"Владение LLM-инструментами для обработки текстов",,"llm"
"Знакомство с языками описания диаграмм: plantUML, mermaid, LikeC4",,"plantuml|mermaid|likec4"
"Понимание жизненного цикла разработки ПО (SDLC) и процессов тестирования (STLC).",,"sdlc|stlc"
"Знание типов тестирования: функциональное, регрессионное, интеграционное, нагрузочное, API и др.",,"api"
"Опыт работы с тестовыми инструментами (Postman, Selenium, Appium, JMeter, REST-assured и др.).",,"postman|selenium|appium|jmeter|rest-assured"
"Знание языков программирования для автоматизации тестирования (Python).",,"python"
"Умение писать SQL-запросы для работы с базами данных.",,"sql"
"Опыт настройки CI/CD пайплайнов (Jenkins, GitLab CI/CD).",,"ci/cd|jenkins|gitlab ci/cd"
"Знание принципов работы REST и SOAP API.",,"rest|soap api"
"Требуется понимание и опыт в python, ООП, page object, appium android, желательно и ios (опционально), allure, git, терминал UNIX (хотя бы на уровне джуна)",,"python|oop|page object|appium|ios|allure|git|unix"
"Стэк: Oracle/Hadoop/Teradata, SQL/Python/Spark/Hive, Airflow, Grafana/ SAS",,"oracle|hadoop|teradata|sql|python|spark|hive|airflow|grafana|sas"
"Опыт участия в проектах по созданию и развитию DWH.",,"dwh"
"Опыт разработки OLAP-кубов.",,"olap"
"Понимание принципов разработки с помощью ETL инструментария.",,"etl"
"Опыт создания и развития Data Vault (особенности DDL,DML,PL/SQL).",,"data vault|ddl|dml|pl/sql"
"Стэк: Oracle/Hadoop/Teradata, SQL/Python/Spark/Hive, Airflow, Grafana/ SAS",,"oracle|hadoop|teradata|sql|python|spark|hive|airflow|grafana|sas"
"Опыт разработки ETL-процессов с использование инструментов SAS от трех лет",,"etl|sas"
"Опыт разработки ETL-процессов для Greenplum.",,"etl|greenplum"
"Опыт участия в проектах по созданию и развитию DWH.",,"dwh"
"Умение работать с Bash-скриптами.",,"bash"
"Опыт промышленной разработки на Python.",,"python"
"Опыт участия в проектах по созданию и развитию Data Vault",,"data vault"
"SQL, PL\SQL, Hive",,"sql|pl/sql|hive"
"Опыт чтения и анализа программного кода SAS, SQL, Spark, Hive.",,"sas|sql|spark|hive"
"Опыт тестирования WEB сайтов, мобильных приложений iOS/Android, API",,"api|ios|android"
"Понимание CI/CD пайплайнов",,"ci/cd"
"Понимание принципов работы брокеров очередей (RabbitMQ, Kafka)",,"rabbitmq|kafka"
"Понимание принципа работы шин данных, rest взаимодействия",,"rest"
"Знания СУБД (реляционные) и умение составлять запросы на SQL (Select, Join)",,"sql"
"Знание Java или любого другого языка программирования",,"java"
"Опыт использования инструментов для автоматического и нагрузочного тестирования (Selenium, Cucumber, Gatling, и т.д.)",,"selenium|cucumber|gatling"
"Опыт работы с ERP",,"erp"
"Опыт работы с УТ",,"ут"
"Знание ERP",,"erp"
"Знание УТ",,"udp"
"Опыт разработки ETL-процессов с использованием различного инструментария (Informatica, Apache Airflow, Apache Ni-Fi и подобных)",,"informatica|apache airflow|apache ni-fi"
"Опыт подготовки и очистки дата-сетов для дальнейшего использования в визуализации (BI), для анализа данных, для обучения моделей (ML) и т. п.",,"bi|ml"
"Уверенный опыт работы с реляционными БД (MS SQL, PostgreSQL) не менее 1 года",,"ms sql|postgresql"
"Опыт командной разработки с использованием программных продуктов Confluence, Jira, Git, Jenkins",,"confluence|jira|git|jenkins"
"Опыт работы, как в каскадных (waterfall), так и в гибких методологиях (Agile и/или Scrum) разработки",,"waterfall|agile|scrum"
"Опыт работы в роли Python разработчика от 1 (одного) лет за период с 2022 г. по настоящее время в проектах по разработке и/или AI агентов с использованием инструментов и технологий языка Python",,"python"
"Опыт использования фреймворков и библиотек разработки AI-агентов (LangChain, LangGraph и др.)",,"langchain|langgraph"
"Знание принципов DevOps и MLops и применение их на практике",,"devops|mlops"
"Опыт командной разработки с использованием программных продуктов Confluence, Jira, Git, Jenkins",,"confluence|jira|git|jenkins"
"Опыт работы, как в каскадных (waterfall), так и в гибких методологиях (Agile и/или Scrum) разработки",,"waterfall|agile|scrum"
"Опыт работы в роли промт-инженера от 2 (двух) лет за период с 2022 г. по настоящее время в проектах по разработке и/или модификации и/или внедрению ПО",,"prompt engineering|software development|software modification|software implementation"
"Опыт разработки и оптимизации промптов (системных) для моделей ИИ",,"prompt development|prompt optimization|ai models"
"Опыт тестирования моделей ИИ",,"ai model testing"
"Опыт улучшения качества ответов моделей ИИ с использованием методов промпт-инжиниринга, оптимизации контекста (в том числе с применением RAG)",,"prompt engineering|context optimization|rag|ai models"
"Опыт подготовки датасетов для тестирования моделей ИИ",,"dataset preparation|ai model testing"
"Опыт эксплуатации AI-агентов (работа с логами, анализ ризонинга модели и т. п.)",,"ai agents|logs analysis|model reasoning analysis"
"Опыт командной разработки с использованием программных продуктов Confluence, Jira, Git, Jenkins",,"confluence|jira|git|jenkins"
"Опыт работы, как в каскадных (waterfall), так и в гибких методологиях (Agile и/или Scrum) разработки",,"waterfall|agile|scrum"
"Опыт работы на проектах по разработке и/или модификации и/или внедрению систем для компаний участников финансового рынка или банков не менее 2-х лет",,"software development|software modification|software implementation"
"Опыт работы в роли аналитика от 2 (двух) лет за период с 2022 г. по настоящее время в проектах по разработке и/или модификации AI агентов",,"ai agents"
"Опыт постановки задач на реализацию AI-агентов",,"ai agents"
"Понимание какие бизнес-задачи стоит решать с испольованием AI, а какие не эффективно (и для них лучше традиционный подход к разработке ПО)",,"ai"
"Понимание архитектуры устройства AI-агентов, компонентов, интеграций",,"ai agents"
"Опыт использования zerocode/lowcode фреймворков для разработки AI-агентов",,"zero-code|low-code|ai agents"
"Опыт использования zerocode/lowcode фреймворков для разработки чат-ботов (с применением AI)",,"zero-code|low-code|ai|chatbot"
"Опыт командной разработки с использованием программных продуктов Confluence, Jira, Git, Jenkins",,"confluence|jira|git|jenkins"
"Опыт работы, как в каскадных (waterfall), так и в гибких методологиях (Agile и/или Scrum) разработки",,"waterfall|agile|scrum"
"Понимание основных принципов и практик DevSecOps",,"devsecops"
"Опыт настройки CI/CD систем (GitLab CI, Jenkins, Teamcity)",,"gitlab ci|jenkins|teamcity"
"Опыт работы с Docker, сборка имеджей",,"docker"
"Опыт работы с Kubernetes. Самостоятельное развертывание, написание манифестов для различных компонент",,"kubernetes"
"Опыт работы с непрерывной доставкой в Kubernetes: Helm, Jsonnet и др.",,"helm|jsonnet"
"Опыт внедрение GitOps подходов",,"gitops"
